                Time                  dU                   w                   q              dTheta                   v                   p                   r                 Phi                 Shi                   x                   y                   z
                   0            -0.00000            -0.00000             0.00000             0.00000             0.00000             0.00004            -0.00000             0.00000            -0.00000             0.77400             0.00000         15000.00100
             0.01200            -0.00000            -0.00000             0.00000             0.00000             0.00006             0.00048            -0.00001             0.00018            -0.00000            10.06200             0.00001         15000.01300
             0.02400            -0.00000            -0.00000             0.00000             0.00000             0.00024             0.00093            -0.00002             0.00067            -0.00000            19.35000             0.00008         15000.02500
             0.03600            -0.00000            -0.00000             0.00000             0.00000             0.00053             0.00137            -0.00004             0.00146            -0.00000            28.63800             0.00025         15000.03700
             0.04800            -0.00000            -0.00000             0.00000             0.00000             0.00093             0.00181            -0.00005             0.00255            -0.00000            37.92600             0.00058         15000.04900
             0.06000            -0.00000            -0.00000             0.00000             0.00000             0.00145             0.00225            -0.00006             0.00395            -0.00000            47.21400             0.00112         15000.06100
             0.07200            -0.00000            -0.00000             0.00000             0.00000             0.00209             0.00268            -0.00007             0.00564            -0.00000            56.50200             0.00191         15000.07300
             0.08400            -0.00000            -0.00000             0.00000             0.00000             0.00285             0.00312            -0.00008             0.00764            -0.00000            65.79000             0.00301         15000.08500
             0.09600            -0.00000            -0.00000             0.00000             0.00000             0.00373             0.00355            -0.00009             0.00993            -0.00000            75.07800             0.00447         15000.09700
             0.10800            -0.00000            -0.00000             0.00000             0.00000             0.00474             0.00398            -0.00011             0.01252            -0.00001            84.36600             0.00634         15000.10900
             0.12000            -0.00000            -0.00000             0.00000             0.00000             0.00587             0.00440            -0.00012             0.01540            -0.00001            93.65400             0.00866         15000.12100
             0.13200            -0.00000            -0.00000             0.00000             0.00000             0.00714             0.00482            -0.00013             0.01857            -0.00001           102.94200             0.01149         15000.13300
             0.14400            -0.00000            -0.00000             0.00000             0.00000             0.00853             0.00525            -0.00014             0.02203            -0.00001           112.23000             0.01487         15000.14500
             0.15600            -0.00000            -0.00000             0.00000             0.00000             0.01006             0.00566            -0.00015             0.02578            -0.00001           121.51800             0.01885         15000.15700
