Time	x1	x2
0	0	0.00999
0.002	0.00004	0.02995
0.004	0.00012	0.04985
0.006	0.00024	0.0697
0.008	0.0004	0.08948
0.01	0.0006	0.10918
0.012	0.00084	0.1288
0.014	0.00112	0.14832
0.016	0.00143	0.16775
0.018	0.00179	0.18708
0.02	0.00218	0.20629
0.022	0.00261	0.22538
0.024	0.00308	0.24434
0.026	0.00359	0.26316
0.028	0.00414	0.28185
0.03	0.00472	0.30038
0.032	0.00534	0.31875
0.034	0.00599	0.33697
0.036	0.00668	0.35501
0.038	0.00741	0.37287
0.04	0.00818	0.39055
0.042	0.00897	0.40804
0.044	0.00981	0.42532
0.046	0.01068	0.44241
0.048	0.01158	0.45928
0.05	0.01251	0.47594
0.052	0.01348	0.49237
0.054	0.01448	0.50857
0.056	0.01552	0.52454
0.058	0.01658	0.54027
0.06	0.01768	0.55575
0.062	0.0188	0.57097
0.064	0.01996	0.58594
0.066	0.02115	0.60064
0.068	0.02236	0.61508
0.07	0.02361	0.62924
0.072	0.02488	0.64312
0.074	0.02618	0.65671
0.076	0.02751	0.67002
0.078	0.02886	0.68303
0.08	0.03024	0.69574
0.082	0.03164	0.70815
0.084	0.03307	0.72025
0.086	0.03452	0.73204
0.088	0.036	0.74351
0.09	0.0375	0.75466
0.092	0.03902	0.76549
0.094	0.04056	0.77599
0.096	0.04212	0.78616
0.098	0.0437	0.796
0.1	0.0453	0.8055
0.102	0.04692	0.81465
0.104	0.04856	0.82347
0.106	0.05022	0.83193
0.108	0.05189	0.84005
0.11	0.05358	0.84782
0.112	0.05528	0.85523
0.114	0.057	0.86228
0.116	0.05873	0.86898
0.118	0.06047	0.87531
0.12	0.06223	0.88129
0.122	0.064	0.8869
0.124	0.06578	0.89214
0.126	0.06757	0.89702
0.128	0.06937	0.90152
0.13	0.07117	0.90566
0.132	0.07299	0.90943
0.134	0.07481	0.91283
0.136	0.07664	0.91586
0.138	0.07847	0.91851
0.14	0.08031	0.92079
0.142	0.08216	0.9227
0.144	0.084	0.92424
0.146	0.08585	0.9254
0.148	0.08771	0.9262
0.15	0.08956	0.92662
0.152	0.09141	0.92667
0.154	0.09326	0.92635
0.156	0.09512	0.92566
0.158	0.09697	0.9246
0.16	0.09881	0.92317
0.162	0.10066	0.92138
0.164	0.1025	0.91922
0.166	0.10434	0.9167
0.168	0.10617	0.91382
0.17	0.10799	0.91058
0.172	0.10981	0.90698
0.174	0.11162	0.90303
0.176	0.11342	0.89873
0.178	0.11521	0.89407
0.18	0.117	0.88906
0.182	0.11877	0.88372
0.184	0.12053	0.87802
0.186	0.12228	0.87199
0.188	0.12402	0.86562
0.19	0.12574	0.85892
0.192	0.12745	0.85189
0.194	0.12915	0.84453
0.196	0.13083	0.83685
0.198	0.1325	0.82886
0.2	0.13415	0.82054
0.202	0.13578	0.81192
0.204	0.1374	0.80298
0.206	0.13899	0.79375
0.208	0.14057	0.78421
0.21	0.14213	0.77438
0.212	0.14367	0.76427
0.214	0.14519	0.75386
0.216	0.14668	0.74318
0.218	0.14816	0.73222
0.22	0.14961	0.72099
0.222	0.15104	0.70949
0.224	0.15245	0.69773
0.226	0.15383	0.68572
0.228	0.15519	0.67346
0.23	0.15653	0.66095
0.232	0.15784	0.64821
0.234	0.15912	0.63523
0.236	0.16038	0.62202
0.238	0.16161	0.60859
0.24	0.16281	0.59495
0.242	0.16399	0.58109
0.244	0.16513	0.56703
0.246	0.16625	0.55277
0.248	0.16735	0.53832
0.25	0.16841	0.52368
0.252	0.16944	0.50886
0.254	0.17044	0.49387
0.256	0.17142	0.47871
0.258	0.17236	0.46339
0.26	0.17327	0.44792
0.262	0.17415	0.4323
0.264	0.175	0.41653
0.266	0.17582	0.40063
0.268	0.1766	0.3846
0.27	0.17735	0.36846
0.272	0.17807	0.35219
0.274	0.17876	0.33582
0.276	0.17942	0.31935
0.278	0.18004	0.30278
0.28	0.18063	0.28612
0.282	0.18118	0.26938
0.284	0.18171	0.25257
0.286	0.18219	0.23569
0.288	0.18265	0.21875
0.29	0.18307	0.20176
0.292	0.18346	0.18472
0.294	0.18381	0.16764
0.296	0.18413	0.15053
0.298	0.18441	0.13339
0.3	0.18466	0.11624
0.302	0.18488	0.09907
0.304	0.18506	0.08189
0.306	0.1852	0.06472
0.308	0.18531	0.04755
0.31	0.18539	0.0304
0.312	0.18544	0.01328
0.314	0.18545	-0.00382
0.316	0.18542	-0.02088
0.318	0.18536	-0.0379
0.32	0.18527	-0.05487
0.322	0.18514	-0.07179
0.324	0.18498	-0.08864
0.326	0.18479	-0.10543
0.328	0.18456	-0.12213
0.33	0.1843	-0.13876
0.332	0.18401	-0.1553
0.334	0.18368	-0.17174
0.336	0.18332	-0.18808
0.338	0.18293	-0.20431
0.34	0.1825	-0.22043
0.342	0.18204	-0.23643
0.344	0.18156	-0.2523
0.346	0.18104	-0.26804
0.348	0.18048	-0.28364
0.35	0.1799	-0.2991
0.352	0.17929	-0.3144
0.354	0.17864	-0.32955
0.356	0.17797	-0.34454
0.358	0.17727	-0.35936
0.36	0.17653	-0.37401
0.362	0.17577	-0.38848
0.364	0.17498	-0.40276
0.366	0.17416	-0.41685
0.368	0.17331	-0.43075
0.37	0.17244	-0.44445
0.372	0.17153	-0.45795
0.374	0.1706	-0.47123
0.376	0.16965	-0.4843
0.378	0.16867	-0.49716
0.38	0.16766	-0.50978
0.382	0.16663	-0.52218
0.384	0.16557	-0.53434
0.386	0.16449	-0.54627
0.388	0.16339	-0.55795
0.39	0.16226	-0.56939
0.392	0.16111	-0.58058
0.394	0.15994	-0.59151
0.396	0.15874	-0.60219
0.398	0.15753	-0.6126
0.4	0.15629	-0.62275
0.402	0.15504	-0.63262
0.404	0.15376	-0.64223
0.406	0.15247	-0.65156
0.408	0.15116	-0.66061
0.41	0.14983	-0.66938
0.412	0.14848	-0.67786
0.414	0.14712	-0.68606
0.416	0.14574	-0.69396
0.418	0.14434	-0.70157
0.42	0.14293	-0.70889
0.422	0.1415	-0.71591
0.424	0.14007	-0.72263
0.426	0.13861	-0.72905
0.428	0.13715	-0.73516
0.43	0.13567	-0.74096
0.432	0.13419	-0.74646
0.434	0.13269	-0.75165
0.436	0.13118	-0.75653
0.438	0.12966	-0.7611
0.44	0.12814	-0.76535
0.442	0.1266	-0.76929
0.444	0.12506	-0.77291
0.446	0.12351	-0.77622
0.448	0.12195	-0.77921
0.45	0.12039	-0.78189
0.452	0.11883	-0.78424
0.454	0.11726	-0.78628
0.456	0.11568	-0.788
0.458	0.1141	-0.7894
0.46	0.11252	-0.79048
0.462	0.11094	-0.79125
0.464	0.10936	-0.7917
