Time	Distance	Velocity
0	99.99501	-9.98484
0.002	99.95509	-29.9206
0.004	99.87536	-49.80457
0.006	99.75591	-69.62892
0.008	99.59689	-89.38583
0.01	99.39842	-109.06755
0.012	99.16067	-128.66637
0.014	98.88382	-148.17461
0.016	98.56804	-167.58467
0.018	98.21355	-186.88898
0.02	97.82056	-206.08004
0.022	97.38931	-225.15041
0.024	96.92004	-244.09271
0.026	96.41303	-262.89963
0.028	95.86854	-281.56392
0.03	95.28687	-300.07841
0.032	94.66833	-318.436
0.034	94.01324	-336.62967
0.036	93.32193	-354.65248
0.038	92.59475	-372.49756
0.04	91.83206	-390.15814
0.042	91.03424	-407.62754
0.044	90.20168	-424.89914
0.046	89.33478	-441.96646
0.048	88.43396	-458.82307
0.05	87.49963	-475.46266
0.052	86.53225	-491.87902
0.054	85.53227	-508.06602
0.056	84.50015	-524.01767
0.058	83.43636	-539.72806
0.06	82.3414	-555.19139
0.062	81.21576	-570.40198
0.064	80.05996	-585.35425
0.066	78.87452	-600.04275
0.068	77.65997	-614.46213
0.07	76.41686	-628.60717
0.072	75.14573	-642.47276
0.074	73.84715	-656.05393
0.076	72.52171	-669.34581
0.078	71.16997	-682.34367
0.08	69.79253	-695.04291
0.082	68.39	-707.43904
0.084	66.96298	-719.52772
0.086	65.51209	-731.30474
0.088	64.03797	-742.766
0.09	62.54124	-753.90757
0.092	61.02256	-764.72562
0.094	59.48256	-775.21648
0.096	57.92191	-785.37662
0.098	56.34128	-795.20263
0.1	54.74133	-804.69126
0.102	53.12274	-813.83938
0.104	51.4862	-822.64403
0.106	49.83239	-831.10237
0.108	48.16202	-839.2117
0.11	46.47578	-846.9695
0.112	44.77438	-854.37336
0.114	43.05852	-861.42103
0.116	41.32893	-868.11041
0.118	39.58632	-874.43954
0.12	37.83142	-880.4066
0.122	36.06494	-886.00995
0.124	34.28762	-891.24806
0.126	32.50019	-896.11958
0.128	30.70339	-900.62328
0.13	28.89794	-904.75811
0.132	27.0846	-908.52314
0.134	25.2641	-911.91762
0.136	23.43718	-914.94093
0.138	21.60458	-917.5926
0.14	19.76706	-919.87231
0.142	17.92534	-921.7799
0.144	16.08018	-923.31535
0.146	14.23233	-924.47878
0.148	12.38252	-925.27048
0.15	10.53149	-925.69088
0.152	8.68	-925.74053
0.154	6.82878	-925.42018
0.156	4.97857	-924.73068
0.158	3.1301	-923.67304
0.16	1.28412	-922.24843
0.162	-0.55865	-920.45815
0.164	-2.39747	-918.30365
0.166	-4.23162	-915.7865
0.168	-6.06038	-912.90845
0.17	-7.88302	-909.67137
0.172	-9.69882	-906.07726
0.174	-11.50709	-902.12827
0.176	-13.3071	-897.82669
0.178	-15.09816	-893.17495
0.18	-16.87957	-888.1756
0.182	-18.65063	-882.83134
0.184	-20.41067	-877.14499
0.186	-22.15899	-871.1195
0.188	-23.89492	-864.75796
0.19	-25.6178	-858.06359
0.192	-27.32696	-851.03972
0.194	-29.02174	-843.68982
0.196	-30.7015	-836.01748
0.198	-32.3656	-828.02641
0.2	-34.0134	-819.72044
0.202	-35.64427	-811.10351
0.204	-37.25761	-802.17969
0.206	-38.85279	-792.95316
0.208	-40.42922	-783.42821
0.21	-41.98631	-773.60924
0.212	-43.52346	-763.50077
0.214	-45.04012	-753.10741
0.216	-46.53571	-742.43388
0.218	-48.00967	-731.48502
0.22	-49.46147	-720.26573
0.222	-50.89056	-708.78106
0.224	-52.29642	-697.03611
0.226	-53.67853	-685.0361
0.228	-55.0364	-672.78634
0.23	-56.36951	-660.29221
0.232	-57.6774	-647.5592
0.234	-58.9596	-634.59288
0.236	-60.21562	-621.39889
0.238	-61.44504	-607.98296
0.24	-62.64741	-594.35089
0.242	-63.82231	-580.50856
0.244	-64.96931	-566.46193
0.246	-66.08802	-552.21701
0.248	-67.17805	-537.77989
0.25	-68.23902	-523.15673
0.252	-69.27056	-508.35374
0.254	-70.27232	-493.37719
0.256	-71.24395	-478.23342
0.258	-72.18514	-462.92881
0.26	-73.09557	-447.4698
0.262	-73.97492	-431.86288
0.264	-74.82292	-416.11457
0.266	-75.63929	-400.23145
0.268	-76.42376	-384.22014
0.27	-77.17609	-368.08729
0.272	-77.89604	-351.83959
0.274	-78.58338	-335.48376
0.276	-79.2379	-319.02656
0.278	-79.85942	-302.47475
0.28	-80.44774	-285.83516
0.282	-81.00271	-269.11459
0.284	-81.52415	-252.3199
0.286	-82.01194	-235.45794
0.288	-82.46595	-218.53559
0.29	-82.88605	-201.55972
0.292	-83.27215	-184.53723
0.294	-83.62417	-167.47501
0.296	-83.94203	-150.37996
0.298	-84.22567	-133.25897
0.3	-84.47505	-116.11895
0.302	-84.69014	-98.96677
0.304	-84.87092	-81.80931
0.306	-85.01738	-64.65345
0.308	-85.12954	-47.50603
0.31	-85.20741	-30.37389
0.312	-85.25105	-13.26384
0.314	-85.26049	3.81733
0.316	-85.2358	20.86284
0.318	-85.17707	37.86595
0.32	-85.08437	54.81997
0.322	-84.95782	71.7182
0.324	-84.79754	88.55402
0.326	-84.60365	105.32081
0.328	-84.37631	122.01202
0.33	-84.11566	138.62112
0.332	-83.82188	155.14164
0.334	-83.49516	171.56717
0.336	-83.13568	187.89132
0.338	-82.74366	204.10778
0.34	-82.31933	220.21028
0.342	-81.8629	236.19261
0.344	-81.37464	252.04863
0.346	-80.8548	267.77225
0.348	-80.30364	283.35746
0.35	-79.72146	298.79831
0.352	-79.10855	314.08891
0.354	-78.46521	329.22345
0.356	-77.79176	344.1962
0.358	-77.08854	359.0015
0.36	-76.35587	373.63376
0.362	-75.59412	388.08749
0.364	-74.80365	402.35727
0.366	-73.98482	416.43775
0.368	-73.13802	430.32371
0.37	-72.26366	444.00996
0.372	-71.36212	457.49146
0.374	-70.43383	470.7632
0.376	-69.47921	483.82032
0.378	-68.4987	496.65803
0.38	-67.49273	509.27162
0.382	-66.46176	521.65652
0.384	-65.40626	533.80822
0.386	-64.32669	545.72234
0.388	-63.22353	557.39459
0.39	-62.09727	568.8208
0.392	-60.94841	579.99688
0.394	-59.77745	590.91887
0.396	-58.58491	601.58292
0.398	-57.3713	611.98527
0.4	-56.13715	622.1223
0.402	-54.88299	631.99049
0.404	-53.60936	641.58642
0.406	-52.31683	650.90681
0.408	-51.00592	659.94849
0.41	-49.67722	668.70839
0.412	-48.33128	677.18358
0.414	-46.96868	685.37125
0.416	-45.58999	693.26869
0.418	-44.1958	700.87333
0.42	-42.78669	708.18272
0.422	-41.36326	715.19452
0.424	-39.92611	721.90653
0.426	-38.47584	728.31666
0.428	-37.01305	734.42297
0.43	-35.53835	740.2236
0.432	-34.05236	745.71686
0.434	-32.55569	750.90117
0.436	-31.04896	755.77507
0.438	-29.5328	760.33724
0.44	-28.00782	764.58646
0.442	-26.47466	768.52168
0.444	-24.93395	772.14195
0.446	-23.3863	775.44644
0.448	-21.83237	778.43447
0.45	-20.27278	781.10549
0.452	-18.70816	783.45904
0.454	-17.13915	785.49483
0.456	-15.56639	787.21268
0.458	-13.99051	788.61254
0.46	-12.41215	789.69449
