Time	Distance	Velocity
0	0	0.003
0.002	0.00001	0.00899
0.004	0.00004	0.01496
0.006	0.00007	0.02093
0.008	0.00012	0.02688
0.01	0.00018	0.03282
0.012	0.00025	0.03874
0.014	0.00034	0.04466
0.016	0.00043	0.05056
0.018	0.00054	0.05645
0.02	0.00066	0.06233
0.022	0.00079	0.06819
0.024	0.00093	0.07405
0.026	0.00108	0.07989
0.028	0.00125	0.08571
0.03	0.00143	0.09153
0.032	0.00162	0.09733
0.034	0.00182	0.10312
0.036	0.00203	0.1089
0.038	0.00225	0.11466
0.04	0.00249	0.12041
0.042	0.00273	0.12615
0.044	0.00299	0.13187
0.046	0.00326	0.13759
0.048	0.00354	0.14328
0.05	0.00383	0.14897
0.052	0.00414	0.15464
0.054	0.00445	0.1603
0.056	0.00478	0.16595
0.058	0.00512	0.17158
0.06	0.00546	0.1772
0.062	0.00582	0.18281
0.064	0.0062	0.1884
0.066	0.00658	0.19398
0.068	0.00697	0.19954
0.07	0.00738	0.2051
0.072	0.00779	0.21064
0.074	0.00822	0.21616
0.076	0.00866	0.22167
0.078	0.00911	0.22717
0.08	0.00957	0.23265
0.082	0.01004	0.23812
0.084	0.01052	0.24358
0.086	0.01101	0.24902
0.088	0.01151	0.25445
0.09	0.01203	0.25987
0.092	0.01255	0.26527
0.094	0.01309	0.27066
0.096	0.01364	0.27603
0.098	0.01419	0.28139
0.1	0.01476	0.28673
0.102	0.01534	0.29206
0.104	0.01593	0.29738
0.106	0.01653	0.30268
0.108	0.01714	0.30797
0.11	0.01776	0.31325
0.112	0.01839	0.31851
0.114	0.01904	0.32375
0.116	0.01969	0.32898
0.118	0.02035	0.3342
0.12	0.02103	0.3394
0.122	0.02171	0.34459
0.124	0.0224	0.34976
0.126	0.02311	0.35492
0.128	0.02382	0.36007
0.13	0.02455	0.3652
0.132	0.02528	0.37031
0.134	0.02603	0.37541
0.136	0.02679	0.3805
0.138	0.02755	0.38557
0.14	0.02833	0.39062
0.142	0.02911	0.39566
0.144	0.02991	0.40069
0.146	0.03072	0.4057
0.148	0.03153	0.4107
0.15	0.03236	0.41568
0.152	0.0332	0.42065
0.154	0.03404	0.4256
0.156	0.0349	0.43054
0.158	0.03576	0.43546
0.16	0.03664	0.44037
0.162	0.03753	0.44526
0.164	0.03842	0.45014
0.166	0.03933	0.455
0.168	0.04024	0.45984
0.17	0.04117	0.46467
0.172	0.0421	0.46949
0.174	0.04304	0.47429
0.176	0.044	0.47908
0.178	0.04496	0.48385
0.18	0.04593	0.4886
0.182	0.04691	0.49334
0.184	0.04791	0.49807
0.186	0.04891	0.50277
0.188	0.04992	0.50747
0.19	0.05094	0.51215
0.192	0.05197	0.51681
0.194	0.053	0.52145
0.196	0.05405	0.52609
0.198	0.05511	0.5307
0.2	0.05617	0.5353
0.202	0.05725	0.53989
0.204	0.05833	0.54446
0.206	0.05943	0.54901
0.208	0.06053	0.55355
0.21	0.06164	0.55807
0.212	0.06276	0.56257
0.214	0.06389	0.56706
0.216	0.06503	0.57154
0.218	0.06618	0.576
0.22	0.06733	0.58044
0.222	0.0685	0.58487
0.224	0.06967	0.58928
0.226	0.07086	0.59368
0.228	0.07205	0.59805
0.23	0.07325	0.60242
0.232	0.07446	0.60677
0.234	0.07568	0.6111
0.236	0.0769	0.61541
0.238	0.07814	0.61971
0.24	0.07938	0.624
0.242	0.08063	0.62826
0.244	0.08189	0.63252
0.246	0.08316	0.63675
0.248	0.08444	0.64097
0.25	0.08573	0.64517
0.252	0.08702	0.64936
0.254	0.08833	0.65353
0.256	0.08964	0.65769
0.258	0.09096	0.66183
0.26	0.09228	0.66595
0.262	0.09362	0.67006
0.264	0.09496	0.67415
0.266	0.09632	0.67822
0.268	0.09768	0.68228
0.27	0.09905	0.68632
0.272	0.10042	0.69034
0.274	0.10181	0.69435
0.276	0.1032	0.69834
0.278	0.1046	0.70232
0.28	0.10601	0.70628
0.282	0.10743	0.71022
0.284	0.10885	0.71415
0.286	0.11028	0.71806
0.288	0.11172	0.72195
0.29	0.11317	0.72583
0.292	0.11462	0.72969
0.294	0.11609	0.73354
0.296	0.11756	0.73737
0.298	0.11904	0.74118
0.3	0.12052	0.74497
0.302	0.12202	0.74875
0.304	0.12352	0.75251
0.306	0.12503	0.75626
0.308	0.12654	0.75999
0.31	0.12807	0.7637
0.312	0.1296	0.7674
0.314	0.13114	0.77108
0.316	0.13268	0.77474
0.318	0.13424	0.77838
0.32	0.1358	0.78201
0.322	0.13736	0.78563
0.324	0.13894	0.78922
0.326	0.14052	0.7928
0.328	0.14211	0.79637
0.33	0.14371	0.79991
0.332	0.14531	0.80344
0.334	0.14692	0.80695
0.336	0.14854	0.81045
0.338	0.15016	0.81393
0.34	0.15179	0.81739
0.342	0.15343	0.82084
0.344	0.15508	0.82427
0.346	0.15673	0.82768
0.348	0.15839	0.83108
0.35	0.16005	0.83446
0.352	0.16173	0.83782
0.354	0.1634	0.84116
0.356	0.16509	0.84449
0.358	0.16678	0.8478
0.36	0.16848	0.8511
0.362	0.17019	0.85438
0.364	0.1719	0.85764
0.366	0.17362	0.86089
0.368	0.17534	0.86411
0.37	0.17707	0.86732
0.372	0.17881	0.87052
0.374	0.18056	0.8737
0.376	0.18231	0.87686
0.378	0.18406	0.88
0.38	0.18583	0.88313
0.382	0.1876	0.88624
0.384	0.18937	0.88933
0.386	0.19115	0.89241
0.388	0.19294	0.89547
0.39	0.19473	0.89851
0.392	0.19653	0.90154
0.394	0.19834	0.90455
0.396	0.20015	0.90754
0.398	0.20197	0.91052
0.4	0.20379	0.91347
0.402	0.20562	0.91642
0.404	0.20746	0.91934
0.406	0.2093	0.92225
0.408	0.21115	0.92514
0.41	0.213	0.92802
0.412	0.21486	0.93087
0.414	0.21673	0.93371
0.416	0.2186	0.93654
0.418	0.22047	0.93934
0.42	0.22235	0.94213
0.422	0.22424	0.94491
0.424	0.22613	0.94766
0.426	0.22803	0.9504
0.428	0.22994	0.95313
0.43	0.23184	0.95583
0.432	0.23376	0.95852
0.434	0.23568	0.96119
0.436	0.2376	0.96385
0.438	0.23953	0.96649
0.44	0.24147	0.96911
0.442	0.24341	0.97171
0.444	0.24536	0.9743
0.446	0.24731	0.97687
0.448	0.24926	0.97942
0.45	0.25122	0.98196
0.452	0.25319	0.98448
0.454	0.25516	0.98698
0.456	0.25714	0.98947
0.458	0.25912	0.99194
0.46	0.26111	0.99439
0.462	0.2631	0.99683
0.464	0.26509	0.99925
0.466	0.2671	1.00165
0.468	0.2691	1.00404
0.47	0.27111	1.00641
0.472	0.27313	1.00876
0.474	0.27515	1.01109
0.476	0.27717	1.01341
0.478	0.2792	1.01571
0.48	0.28123	1.018
0.482	0.28327	1.02027
0.484	0.28531	1.02252
0.486	0.28736	1.02475
0.488	0.28941	1.02697
0.49	0.29147	1.02917
0.492	0.29353	1.03136
0.494	0.2956	1.03353
0.496	0.29766	1.03568
0.498	0.29974	1.03781
0.5	0.30182	1.03993
0.502	0.3039	1.04203
0.504	0.30598	1.04411
0.506	0.30807	1.04618
0.508	0.31017	1.04823
0.51	0.31227	1.05027
0.512	0.31437	1.05228
0.514	0.31648	1.05428
0.516	0.31859	1.05627
0.518	0.3207	1.05824
0.52	0.32282	1.06019
0.522	0.32494	1.06212
0.524	0.32707	1.06404
0.526	0.3292	1.06594
0.528	0.33133	1.06783
0.53	0.33347	1.06969
0.532	0.33561	1.07154
0.534	0.33776	1.07338
0.536	0.3399	1.0752
0.538	0.34206	1.077
0.54	0.34421	1.07879
0.542	0.34637	1.08055
0.544	0.34853	1.08231
0.546	0.3507	1.08404
0.548	0.35287	1.08576
0.55	0.35504	1.08747
0.552	0.35722	1.08915
0.554	0.3594	1.09082
0.556	0.36158	1.09248
0.558	0.36377	1.09411
0.56	0.36596	1.09573
0.562	0.36815	1.09734
0.564	0.37035	1.09893
0.566	0.37255	1.1005
0.568	0.37475	1.10205
0.57	0.37696	1.10359
0.572	0.37917	1.10512
0.574	0.38138	1.10662
0.576	0.38359	1.10811
0.578	0.38581	1.10959
0.58	0.38803	1.11105
0.582	0.39025	1.11249
0.584	0.39248	1.11391
0.586	0.39471	1.11532
0.588	0.39694	1.11671
0.59	0.39918	1.11809
0.592	0.40141	1.11945
0.594	0.40365	1.1208
0.596	0.4059	1.12213
0.598	0.40814	1.12344
0.6	0.41039	1.12473
0.602	0.41264	1.12601
0.604	0.4149	1.12728
0.606	0.41715	1.12853
0.608	0.41941	1.12976
0.61	0.42167	1.13097
0.612	0.42393	1.13217
0.614	0.4262	1.13336
0.616	0.42847	1.13453
0.618	0.43074	1.13568
0.62	0.43301	1.13681
0.622	0.43528	1.13794
0.624	0.43756	1.13904
0.626	0.43984	1.14013
0.628	0.44212	1.1412
0.63	0.4444	1.14226
0.632	0.44669	1.1433
0.634	0.44898	1.14432
0.636	0.45127	1.14533
0.638	0.45356	1.14633
0.64	0.45585	1.14731
0.642	0.45815	1.14827
0.644	0.46045	1.14922
0.646	0.46275	1.15015
0.648	0.46505	1.15106
0.65	0.46735	1.15196
0.652	0.46965	1.15285
0.654	0.47196	1.15371
0.656	0.47427	1.15457
0.658	0.47658	1.1554
0.66	0.47889	1.15623
0.662	0.4812	1.15703
0.664	0.48352	1.15782
0.666	0.48584	1.1586
0.668	0.48815	1.15936
0.67	0.49047	1.1601
0.672	0.49279	1.16083
0.674	0.49512	1.16155
0.676	0.49744	1.16225
0.678	0.49977	1.16293
0.68	0.50209	1.1636
0.682	0.50442	1.16425
0.684	0.50675	1.16489
0.686	0.50908	1.16551
0.688	0.51141	1.16612
0.69	0.51374	1.16671
0.692	0.51608	1.16728
0.694	0.51841	1.16785
0.696	0.52075	1.16839
0.698	0.52309	1.16892
0.7	0.52542	1.16944
0.702	0.52776	1.16994
0.704	0.5301	1.17043
0.706	0.53245	1.1709
0.708	0.53479	1.17135
0.71	0.53713	1.17179
0.712	0.53948	1.17222
0.714	0.54182	1.17263
0.716	0.54417	1.17303
0.718	0.54651	1.17341
0.72	0.54886	1.17378
0.722	0.55121	1.17413
0.724	0.55356	1.17447
0.726	0.55591	1.17479
0.728	0.55825	1.1751
0.73	0.56061	1.17539
0.732	0.56296	1.17567
0.734	0.56531	1.17593
0.736	0.56766	1.17618
0.738	0.57001	1.17641
0.74	0.57237	1.17663
0.742	0.57472	1.17684
0.744	0.57707	1.17703
0.746	0.57943	1.17721
0.748	0.58178	1.17737
0.75	0.58414	1.17752
0.752	0.58649	1.17765
0.754	0.58885	1.17777
0.756	0.5912	1.17787
0.758	0.59356	1.17796
0.76	0.59591	1.17804
0.762	0.59827	1.1781
0.764	0.60063	1.17814
0.766	0.60298	1.17818
0.768	0.60534	1.1782
0.77	0.6077	1.1782
0.772	0.61005	1.17819
0.774	0.61241	1.17817
0.776	0.61477	1.17813
0.778	0.61712	1.17808
0.78	0.61948	1.17801
0.782	0.62183	1.17793
0.784	0.62419	1.17784
0.786	0.62655	1.17773
0.788	0.6289	1.17761
0.79	0.63126	1.17747
0.792	0.63361	1.17732
0.794	0.63596	1.17716
0.796	0.63832	1.17698
0.798	0.64067	1.17679
0.8	0.64303	1.17659
0.802	0.64538	1.17637
0.804	0.64773	1.17614
0.806	0.65008	1.17589
0.808	0.65244	1.17563
0.81	0.65479	1.17536
0.812	0.65714	1.17507
0.814	0.65949	1.17478
0.816	0.66184	1.17446
0.818	0.66418	1.17414
0.82	0.66653	1.1738
0.822	0.66888	1.17344
0.824	0.67123	1.17307
0.826	0.67357	1.17269
0.828	0.67592	1.1723
0.83	0.67826	1.17189
0.832	0.6806	1.17147
0.834	0.68295	1.17104
0.836	0.68529	1.17059
0.838	0.68763	1.17014
0.84	0.68997	1.16966
0.842	0.69231	1.16918
0.844	0.69465	1.16868
0.846	0.69698	1.16817
0.848	0.69932	1.16764
0.85	0.70165	1.1671
0.852	0.70399	1.16655
0.854	0.70632	1.16599
0.856	0.70865	1.16541
0.858	0.71098	1.16482
0.86	0.71331	1.16422
0.862	0.71564	1.16361
0.864	0.71796	1.16298
0.866	0.72029	1.16234
0.868	0.72261	1.16169
0.87	0.72494	1.16102
0.872	0.72726	1.16034
0.874	0.72958	1.15965
0.876	0.7319	1.15895
0.878	0.73421	1.15824
0.88	0.73653	1.15751
0.882	0.73884	1.15677
0.884	0.74116	1.15601
0.886	0.74347	1.15525
0.888	0.74578	1.15447
0.89	0.74809	1.15368
0.892	0.75039	1.15288
0.894	0.7527	1.15207
0.896	0.755	1.15124
0.898	0.7573	1.1504
0.9	0.7596	1.14955
0.902	0.7619	1.14869
0.904	0.7642	1.14781
0.906	0.76649	1.14693
0.908	0.76878	1.14603
0.91	0.77108	1.14512
0.912	0.77336	1.14419
0.914	0.77565	1.14326
0.916	0.77794	1.14231
0.918	0.78022	1.14135
0.92	0.7825	1.14038
0.922	0.78478	1.1394
0.924	0.78706	1.13841
0.926	0.78934	1.1374
0.928	0.79161	1.13639
0.93	0.79388	1.13536
0.932	0.79615	1.13432
0.934	0.79842	1.13327
0.936	0.80069	1.13221
0.938	0.80295	1.13113
0.94	0.80521	1.13005
0.942	0.80747	1.12895
0.944	0.80973	1.12784
0.946	0.81198	1.12672
0.948	0.81423	1.12559
0.95	0.81648	1.12445
0.952	0.81873	1.12329
0.954	0.82098	1.12213
0.956	0.82322	1.12095
0.958	0.82546	1.11977
0.96	0.8277	1.11857
0.962	0.82993	1.11736
0.964	0.83217	1.11614
0.966	0.8344	1.11491
0.968	0.83663	1.11367
0.97	0.83885	1.11242
0.972	0.84108	1.11115
0.974	0.8433	1.10988
0.976	0.84552	1.10859
0.978	0.84773	1.1073
0.98	0.84995	1.10599
0.982	0.85216	1.10467
0.984	0.85436	1.10335
0.986	0.85657	1.10201
0.988	0.85877	1.10066
0.99	0.86097	1.0993
0.992	0.86317	1.09793
0.994	0.86536	1.09655
0.996	0.86756	1.09516
0.998	0.86974	1.09376
1	0.87193	1.08935
1.002	0.8741	1.08194
1.004	0.87626	1.07453
1.006	0.8784	1.06713
1.008	0.88052	1.05972
1.01	0.88264	1.05232
1.012	0.88473	1.04492
1.014	0.88682	1.03753
1.016	0.88888	1.03013
1.018	0.89094	1.02274
1.02	0.89298	1.01535
1.022	0.895	1.00796
1.024	0.89701	1.00058
1.026	0.899	0.9932
1.028	0.90098	0.98582
1.03	0.90294	0.97844
1.032	0.90489	0.97107
1.034	0.90683	0.9637
1.036	0.90875	0.95633
1.038	0.91065	0.94897
1.04	0.91254	0.94161
1.042	0.91442	0.93425
1.044	0.91628	0.9269
1.046	0.91813	0.91955
1.048	0.91996	0.9122
1.05	0.92178	0.90486
1.052	0.92358	0.89752
1.054	0.92537	0.89019
1.056	0.92714	0.88286
1.058	0.9289	0.87553
1.06	0.93064	0.86821
1.062	0.93237	0.86089
1.064	0.93409	0.85357
1.066	0.93579	0.84627
1.068	0.93747	0.83896
1.07	0.93914	0.83166
1.072	0.9408	0.82436
1.074	0.94244	0.81707
1.076	0.94407	0.80979
1.078	0.94568	0.80251
1.08	0.94728	0.79523
1.082	0.94886	0.78796
