                Time            Position            Velocity
                   0             0.00000             0.00125
             0.00200             0.00001             0.00374
             0.00400             0.00002             0.00623
             0.00600             0.00003             0.00872
             0.00800             0.00005             0.01120
             0.01000             0.00008             0.01367
             0.01200             0.00011             0.01614
             0.01400             0.00014             0.01861
             0.01600             0.00018             0.02107
             0.01800             0.00022             0.02352
             0.02000             0.00027             0.02597
             0.02200             0.00033             0.02841
             0.02400             0.00039             0.03085
             0.02600             0.00045             0.03329
             0.02800             0.00052             0.03571
             0.03000             0.00059             0.03814
             0.03200             0.00067             0.04055
             0.03400             0.00076             0.04297
             0.03600             0.00084             0.04537
             0.03800             0.00094             0.04778
             0.04000             0.00104             0.05017
             0.04200             0.00114             0.05256
             0.04400             0.00125             0.05495
             0.04600             0.00136             0.05733
             0.04800             0.00148             0.05970
             0.05000             0.00160             0.06207
             0.05200             0.00172             0.06443
             0.05400             0.00186             0.06679
             0.05600             0.00199             0.06914
             0.05800             0.00213             0.07149
             0.06000             0.00228             0.07383
             0.06200             0.00243             0.07617
             0.06400             0.00258             0.07850
             0.06600             0.00274             0.08082
             0.06800             0.00290             0.08314
             0.07000             0.00307             0.08546
             0.07200             0.00325             0.08776
             0.07400             0.00342             0.09007
             0.07600             0.00361             0.09236
             0.07800             0.00379             0.09465
             0.08000             0.00399             0.09694
             0.08200             0.00418             0.09922
             0.08400             0.00438             0.10149
             0.08600             0.00459             0.10376
             0.08800             0.00480             0.10602
             0.09000             0.00501             0.10828
             0.09200             0.00523             0.11053
             0.09400             0.00545             0.11277
             0.09600             0.00568             0.11501
             0.09800             0.00591             0.11725
             0.10000             0.00615             0.11947
             0.10200             0.00639             0.12169
             0.10400             0.00664             0.12391
             0.10600             0.00689             0.12612
             0.10800             0.00714             0.12832
             0.11000             0.00740             0.13052
             0.11200             0.00766             0.13271
             0.11400             0.00793             0.13490
             0.11600             0.00820             0.13708
             0.11800             0.00848             0.13925
             0.12000             0.00876             0.14142
             0.12200             0.00905             0.14358
             0.12400             0.00933             0.14573
             0.12600             0.00963             0.14788
             0.12800             0.00993             0.15003
             0.13000             0.01023             0.15216
             0.13200             0.01054             0.15430
             0.13400             0.01085             0.15642
             0.13600             0.01116             0.15854
             0.13800             0.01148             0.16065
             0.14000             0.01180             0.16276
             0.14200             0.01213             0.16486
             0.14400             0.01246             0.16695
             0.14600             0.01280             0.16904
             0.14800             0.01314             0.17112
             0.15000             0.01348             0.17320
             0.15200             0.01383             0.17527
             0.15400             0.01418             0.17733
             0.15600             0.01454             0.17939
             0.15800             0.01490             0.18144
             0.16000             0.01527             0.18349
             0.16200             0.01564             0.18552
             0.16400             0.01601             0.18756
             0.16600             0.01639             0.18958
             0.16800             0.01677             0.19160
             0.17000             0.01715             0.19361
             0.17200             0.01754             0.19562
             0.17400             0.01793             0.19762
             0.17600             0.01833             0.19962
             0.17800             0.01873             0.20160
             0.18000             0.01914             0.20358
             0.18200             0.01955             0.20556
             0.18400             0.01996             0.20753
             0.18600             0.02038             0.20949
             0.18800             0.02080             0.21144
             0.19000             0.02122             0.21339
             0.19200             0.02165             0.21534
             0.19400             0.02208             0.21727
             0.19600             0.02252             0.21920
             0.19800             0.02296             0.22113
             0.20000             0.02341             0.22304
             0.20200             0.02385             0.22495
             0.20400             0.02431             0.22686
             0.20600             0.02476             0.22875
             0.20800             0.02522             0.23064
             0.21000             0.02568             0.23253
             0.21200             0.02615             0.23441
             0.21400             0.02662             0.23628
             0.21600             0.02710             0.23814
             0.21800             0.02757             0.24000
             0.22000             0.02806             0.24185
             0.22200             0.02854             0.24370
             0.22400             0.02903             0.24553
             0.22600             0.02952             0.24736
             0.22800             0.03002             0.24919
             0.23000             0.03052             0.25101
             0.23200             0.03102             0.25282
             0.23400             0.03153             0.25462
             0.23600             0.03204             0.25642
             0.23800             0.03256             0.25821
             0.24000             0.03308             0.26000
