                Time            Position            Velocity
                   0             0.00603             0.11836
             0.20000             0.04991             0.30962
             0.40000             0.12532             0.43287
             0.60000             0.21844             0.48716
             0.80000             0.31602             0.47916
             1.00000             0.40675             0.42102
             1.20000             0.48210             0.32808
             1.40000             0.53675             0.21666
             1.60000             0.56856             0.10210
             1.80000             0.57825            -0.00268
             2.00000             0.56879            -0.08818
             2.20000             0.54466            -0.14869
             2.40000             0.51112            -0.18222
             2.60000             0.47349            -0.19005
             2.80000             0.43656            -0.17599
             3.00000             0.40419            -0.14554
             3.20000             0.37902            -0.10493
             3.40000             0.36247            -0.06039
             3.60000             0.35476            -0.01741
             3.80000             0.35511             0.01965
             4.00000             0.36203             0.04787
             4.20000             0.37357             0.06583
             4.40000             0.38766             0.07344
             4.60000             0.40233             0.07176
             4.80000             0.41587             0.06266
             5.00000             0.42705             0.04847
             5.20000             0.43508             0.03162
             5.40000             0.43968             0.01443
             5.60000             0.44096            -0.00120
             5.80000             0.43940            -0.01387
             6.00000             0.43567            -0.02275
             6.20000             0.43057            -0.02757
             6.40000             0.42490            -0.02855
             6.60000             0.41937            -0.02627
             6.80000             0.41455            -0.02158
             7.00000             0.41083            -0.01542
             7.20000             0.40842            -0.00871
             7.40000             0.40733            -0.00228
             7.60000             0.40744             0.00323
             7.80000             0.40853             0.00739
             8.00000             0.41030             0.01000
